User-ID,ISBN,Rating
8,0446365505,0.0
8,080410753X,0.0
9,0440234743,0.0
16,0345402871,9.0
16,0345417623,0.0
17,0425099148,7.0
17,0891075275,6.0
17,0891076182,3.0
26,0446310786,10.0
26,0449005615,9.0
32,0060922532,8.0
32,0553213105,0.0
51,0440225701,9.0
53,0156047624,10.0
67,0804106304,0.0
77,0441783589,0.0
81,0375410538,5.0
91,0316769487,9.0
99,0451166892,3.0
99,0786868716,0.0
114,0446612545,9.0
114,0671027360,10.0
135,0671042858,0.0
139,0743249992,0.0
165,0060929790,0.0
165,0446612545,5.0
176,0393020371,0.0
183,0345342968,9.0
185,0380778556,10.0
226,0345391802,8.0
228,0395083567,9.0
232,014028009X,0.0
242,0345342968,8.0
242,0553278223,10.0
242,3499151502,9.0
243,0060977493,7.0
243,0316693006,0.0
243,0316776963,9.0
243,0345378490,0.0
243,0345433173,0.0
243,0375400117,10.0
243,0375727345,0.0
243,0385511612,0.0
243,0385720106,7.0
243,0425163407,9.0
243,0440224764,0.0
243,0440225701,0.0
243,0440226406,6.0
243,0440234743,0.0
243,0440236673,0.0
243,044023722X,7.0
243,0440241537,0.0
243,0446600466,0.0
243,0446600474,0.0
243,0446606383,6.0
243,0446610399,0.0
243,0446612790,0.0
243,0451132378,0.0
243,0452282152,0.0
243,0517122707,0.0
243,0671027360,0.0
243,0671027387,0.0
243,0786863986,5.0
244,0060977493,7.0
244,0156027321,9.0
254,014028009X,0.0
254,0140293442,0.0
254,0140298479,0.0
254,0140328734,0.0
254,014034294X,0.0
254,0140374248,0.0
254,0140433988,0.0
254,014100018X,0.0
254,0142001740,9.0
254,0316769487,0.0
254,0316776963,0.0
254,0345342445,0.0
254,0345387651,0.0
254,0375727345,0.0
254,0380729407,8.0
254,0380789019,5.0
254,0380789035,10.0
254,0380804557,4.0
254,0380977788,0.0
254,038533348X,0.0
254,0399501487,0.0
254,044018293X,0.0
254,0440241413,0.0
254,0440967694,0.0
254,0441008615,0.0
254,0446605239,0.0
254,0446611867,0.0
254,0451132378,0.0
254,0451137965,0.0
254,0451167317,8.0
254,0451524934,9.0
254,0451526341,8.0
254,0452282152,0.0
254,0553273604,0.0
254,0553280589,0.0
254,0618002219,9.0
254,067976402X,0.0
254,0684833395,0.0
254,0684874350,0.0
254,068971310X,0.0
254,0749748001,0.0
254,0804106304,0.0
254,080410753X,0.0
254,0804114986,9.0
254,0963094424,0.0
254,1573227331,0.0
256,044023722X,8.0
280,0316769487,7.0
300,0375406530,5.0
327,0345371984,0.0
343,0425083837,0.0
362,1559703237,0.0
367,0449005615,9.0
383,0060188731,0.0
383,0140374248,0.0
383,0142001740,0.0
383,044021145X,10.0
383,0440213525,0.0
383,0449207544,0.0
383,0517577402,10.0
384,0156528207,0.0
387,0451527747,10.0
388,0440234743,0.0
388,0553569058,10.0
388,0553569074,0.0
388,1878424319,7.0
408,0345297709,0.0
408,0345313097,0.0
408,044021145X,0.0
413,0553210092,8.0
422,0316168815,0.0
424,0345424719,0.0
424,0375726403,0.0
424,0385503857,0.0
424,0440226104,0.0
424,0805063897,8.0
440,0451160916,10.0
446,0060932759,8.0
476,0380710218,0.0
486,0156027321,0.0
486,0451202341,8.0
487,0425119920,0.0
487,0440220602,0.0
487,0440225701,7.0
487,0486272664,9.0
487,080213825X,0.0
493,0440224764,8.0
496,0425182878,8.0
500,084994371X,8.0
503,0385496095,10.0
503,0440508827,10.0
503,1573225789,0.0
505,006017143X,9.0
507,0020427859,9.0
507,0060938455,0.0
507,0064400026,3.5
507,014029628X,0.0
507,0142001740,10.0
507,0394825985,0.0
507,0446360589,0.0
507,0446364754,0.0
507,0590423541,0.0
507,0679833692,0.0
507,0689710879,10.0
507,0689710895,10.0
507,0689711522,10.0
507,0812519655,0.0
566,0676974562,0.0
567,0811203220,0.0
595,0446610399,9.0
595,0684801221,0.0
618,0142000205,0.0
619,0449207145,0.0
619,193156146X,9.0
620,0140029400,0.0
620,0449207757,0.0
620,0449245691,7.0
626,0140048944,0.0
638,0140298479,7.0
638,0316693006,10.0
638,0316769487,10.0
638,0316776963,10.0
638,0316777730,9.0
638,0316969443,10.0
638,034541389X,10.0
638,0375707972,10.0
638,0385504209,10.0
638,0385505833,10.0
638,0385720106,10.0
638,0446527793,10.0
638,0446531332,10.0
638,0446605239,0.0
638,0446606812,10.0
638,0446608955,9.0
638,0446610399,9.0
638,0446612790,9.0
638,067976402X,10.0
643,0349101779,0.0
643,2253006866,8.0
651,0316776963,0.0
651,0380804557,8.0
677,0517577402,8.0
685,074343627X,10.0
709,006050918X,5.0
709,0345391802,7.0
714,0451155750,7.0
726,0451454243,10.0
728,039914563X,0.0
728,0440234743,0.0
735,038533334X,4.0
735,0440225701,0.0
741,0061003808,8.0
741,0064472779,0.0
741,0393030342,10.0
741,044022165X,0.0
741,0553561618,0.0
741,0590431250,0.0
741,0891073906,0.0
743,0312282990,0.0
746,0394820371,8.0
763,0553212583,8.0
763,0805062971,10.0
767,0440235162,0.0
769,0060914653,10.0
777,0064401871,9.0
791,0345443284,0.0
805,0060929790,10.0
805,0140042393,0.0
805,0156027321,9.0
805,0316777730,7.0
805,0375501851,8.0
805,039592720X,9.0
805,0440215625,8.0
805,0452282152,8.0
805,0553273604,0.0
805,0553273914,0.0
805,0553348981,8.0
805,0679732764,10.0
805,068484477X,8.0
819,0446601241,0.0
819,0451124340,5.0
819,0671726889,5.0
827,0440414717,10.0
828,0345409469,10.0
